iter	Passed	Remaining
0	60	60618
1	60	30413
2	61	20337
3	61	15300
4	61	12284
5	62	10272
6	62	8832
7	62	7749
8	62	6907
9	62	6232
10	63	5679
11	63	5219
12	63	4832
13	63	4498
14	64	4208
15	64	3955
16	64	3732
17	64	3533
18	64	3355
19	65	3195
20	65	3051
21	65	2919
22	65	2800
23	66	2689
24	66	2588
25	66	2494
26	66	2407
27	67	2326
28	67	2250
29	67	2181
30	67	2115
31	67	2054
32	68	1996
33	68	1942
34	68	1890
35	68	1842
36	69	1796
37	69	1754
38	69	1713
39	69	1674
40	70	1638
41	70	1603
42	70	1569
43	70	1537
44	71	1506
45	71	1477
46	71	1449
47	71	1423
48	71	1397
49	72	1372
50	72	1349
51	72	1326
52	73	1304
53	73	1283
54	73	1263
55	73	1243
56	73	1224
57	74	1205
58	74	1188
59	74	1170
60	75	1154
61	75	1138
62	75	1123
63	75	1108
64	76	1093
65	76	1079
66	76	1066
67	76	1053
68	77	1040
69	77	1027
70	77	1015
71	77	1002
72	78	991
73	78	979
74	78	968
75	78	957
76	79	947
77	79	937
78	79	927
79	79	917
80	80	908
81	80	899
82	80	888
83	80	879
84	80	871
85	81	862
86	81	854
87	81	846
88	81	838
89	82	831
90	82	823
91	82	816
92	82	808
93	83	801
94	83	794
95	83	787
96	83	781
97	84	774
98	84	768
99	84	761
100	84	755
101	85	750
102	85	743
103	85	738
104	85	732
105	86	726
106	86	721
107	86	715
108	86	710
109	87	705
110	87	700
111	87	695
112	87	690
113	88	685
114	88	680
115	88	675
116	88	669
117	89	665
118	89	660
119	89	656
120	89	651
121	89	647
122	90	642
123	90	638
124	90	634
125	90	630
126	91	626
127	91	622
128	91	618
129	91	614
130	92	610
131	92	607
132	92	603
133	92	600
134	93	596
135	93	593
136	93	589
137	93	586
138	94	582
139	94	579
140	94	576
141	94	572
142	94	569
143	95	565
144	95	562
145	95	560
146	96	557
147	96	554
148	96	551
149	96	548
150	97	545
151	97	542
152	97	540
153	97	537
154	98	534
155	98	531
156	98	529
157	98	526
158	99	523
159	99	524
160	99	520
161	100	518
162	100	516
163	100	513
164	101	511
165	101	508
166	101	506
167	101	504
168	102	501
169	102	499
170	102	496
171	102	494
172	102	492
173	103	490
174	103	487
175	103	485
176	103	483
177	104	481
178	104	479
179	104	477
180	104	474
181	105	472
182	105	470
183	105	469
184	106	467
185	106	465
186	106	463
187	106	461
188	107	459
189	107	457
190	107	455
191	107	453
192	108	452
193	108	450
194	108	448
195	108	446
196	109	444
197	109	443
198	109	441
199	109	439
200	110	437
201	110	435
202	110	434
203	110	432
204	111	430
205	111	429
206	111	427
207	111	426
208	112	424
209	112	422
210	112	421
211	112	419
212	113	418
213	113	416
214	113	415
215	113	413
216	114	412
217	114	410
218	114	408
219	114	407
220	115	405
221	115	404
222	115	403
223	115	401
224	116	400
225	116	399
226	116	397
227	117	396
228	117	394
229	117	393
230	117	392
231	118	390
232	118	389
233	118	387
234	118	386
235	119	385
236	119	383
237	119	382
238	119	381
239	119	379
240	120	378
241	120	377
242	120	376
243	120	374
244	121	373
245	121	372
246	121	371
247	121	369
248	122	368
249	122	367
250	122	366
251	123	365
252	123	363
253	123	362
254	123	361
255	124	360
256	124	359
257	124	358
258	124	356
259	124	355
260	125	354
261	125	353
262	125	352
263	125	351
264	126	350
265	126	348
266	126	347
267	126	346
268	127	345
269	127	344
270	127	343
271	127	342
272	128	341
273	128	340
274	128	339
275	128	338
276	129	337
277	129	336
278	129	335
279	129	334
280	130	333
281	130	332
282	130	331
283	130	330
284	131	329
285	131	328
286	131	327
287	131	326
288	132	325
